a.1.1.1;Truncated hemoglobin
a.4.1.1;Homeodomain
a.4.1.2;Recombinase DNA-binding domain
a.4.1.3;Myb/SANT domain
a.4.1.13;SLIDE domain
a.4.1.11;GARP response regulators
a.4.1.4;DNA-binding domain of telomeric protein
a.4.1.5;Paired domain
a.4.1.6;DNA-binding domain of rap1
a.4.1.7;Centromere-binding
a.4.1.12;FIS-like
a.4.1.8;AraC type transcriptional activator
a.4.1.9;Tetracyclin repressor-like, N-terminal domain
a.4.1.14;Middle operon regulator, Mor
a.4.1.15;Psq domain
a.4.1.16;Alr1493-like
a.4.1.17;Nanomeric phage protein-like
a.4.1.18;SWIRM domain
a.4.1.19;Cgl2762-like
a.4.1.20;RpiR-like
a.4.2.1;Methylated DNA-protein cysteine methyltransferase, C-terminal domain
a.4.3.1;ARID domain
a.4.5.1;Biotin repressor-like
a.4.5.2;LexA repressor, N-terminal DNA-binding domain
a.4.5.3;Arginine repressor (ArgR), N-terminal DNA-binding domain
a.4.5.38;Transcriptional repressor Rex, N-terminal domain
a.4.5.4;CAP C-terminal domain-like
a.4.5.32;Lrp/AsnC-like transcriptional regulator N-terminal domain
a.4.5.5;ArsR-like transcriptional regulators
a.4.5.33;Transcriptional regulator IclR, N-terminal domain
a.4.5.28;MarR-like transcriptional regulators
a.4.5.36;DNA-binding protein Mj223
a.4.5.39;Penicillinase repressor
a.4.5.6;GntR-like transcriptional regulators
a.4.5.40;N-terminal domain of Bacillus PurR
a.4.5.7;Replication terminator protein (RTP)
a.4.5.37;LysR-like transcriptional regulators
a.4.5.8;N-terminal domain of molybdate-dependent transcriptional regulator ModE
a.4.5.9;Transcription factor MotA, activation domain
a.4.5.41;Transcription factor E/IIe-alpha, N-terminal domain
a.4.5.42;FUR-like
a.4.5.10;Replication initiation protein
a.4.5.11;Helicase DNA-binding domain
a.4.5.43;RecQ helicase DNA-binding domain-like
a.4.5.34;SCF ubiquitin ligase complex WHB domain
a.4.5.35;C-terminal fragment of elongation factor SelB
a.4.5.12;Restriction endonuclease FokI, N-terminal (recognition) domain
a.4.5.27;TnsA endonuclease, C-terminal domain
a.4.5.29;Plant O-methyltransferase, N-terminal domain
a.4.5.13;Linker histone H1/H5
a.4.5.14;Forkhead DNA-binding domain
a.4.5.15;DNA-binding domain from rap30
a.4.5.30;C-terminal domain of the rap74 subunit of TFIIF
a.4.5.16;C-terminal domain of RPA32
a.4.5.31;DEP domain
a.4.5.17;Cell cycle transcription factor e2f-dp
a.4.5.18;The central core domain of TFIIE beta
a.4.5.19;Z-DNA binding domain
a.4.5.20;P4 origin-binding domain-like
a.4.5.21;ets domain
a.4.5.22;Heat-shock transcription factor
a.4.5.23;Interferon regulatory factor
a.4.5.44;39 kda initiator binding protein, IBP39, N-terminal domain
a.4.5.24;Iron-dependent repressor protein
a.4.5.45;Dissimilatory sulfite reductase DsvD
a.4.5.46;La domain
a.4.5.25;Methionine aminopeptidase, insert domain
a.4.5.47;PCI domain (PINT motif)
a.4.5.48;F93-like
a.4.5.49;Archaeal DNA-binding protein
a.4.5.50;TrmB-like
a.4.5.51;Heat-inducible transcription repressor HrcA, N-terminal domain
a.4.5.52;DNA replication factor Cdt1
a.4.5.53;Eukaryotic translation initiation factor 3 subunit 12, eIF3k, C-terminal domain
a.4.5.54;Vacuolar sorting protein domain
a.4.5.55;Transcriptional regulator Rrf2
a.4.5.56;Rio2 serine protein kinase N-terminal domain
a.4.5.57;Rad21/Rec8-like
a.4.5.58;Hypothetical protein PH1932
a.4.5.59;An Obfc1 domain
a.4.5.60;ScpB/YpuH-like
a.4.5.61;PadR-like
a.4.5.62;Hypothetical protein YhgG
a.4.5.63;ROK associated domain
a.4.5.64;PF1790-like
a.4.5.65;MukF N-terminal domain-like
a.4.5.66;CodY HTH domain
a.4.5.67;FtsK C-terminal domain-like
a.4.5.68;Nudix-associated domain
a.4.5.69;HxlR-like
a.4.5.70;Marine metagenome family WH1
a.4.5.71;ReutB4095-like
a.4.5.72;PH0730 N-terminal domain-like
a.4.5.73;FaeA-like
a.4.5.74;STY4665 C-terminal domain-like
a.4.5.75;PSPTO2686-like
a.4.5.76;RHA1 ro06458-like
a.4.5.77;YjcQ-like
a.4.5.78;F112-like
a.4.5.79;MerB N-terminal domain-like
a.4.5.80;CED-4 C-terminal domain-like
a.4.5.81;ELL N2 domain-like
a.4.5.82;PF0610-like
a.4.5.83;Rv2827c N-terminal domain-like
a.4.5.84;Rps19E-like
a.4.5.85;RPO3F domain-like
a.4.6.1;PhoB-like
a.4.6.2;GerE-like (LuxR/UhpA family of transcriptional regulators)
a.4.6.3;Spo0A
a.4.12.1;Trp repressor, TrpR
a.4.12.2;Chromosomal replication initiation factor DnaA C-terminal domain IV
a.4.12.3;SPO1678-like
a.4.7.1;Ribosomal protein L11, C-terminal domain
a.4.8.1;Ribosomal protein S18
a.4.9.1;Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domain 3
a.4.10.1;N-terminal Zn binding domain of HIV integrase
a.4.11.1;RNA polymerase subunit RPB10
a.4.13.1;Sigma3 domain
a.4.13.2;Sigma4 domain
a.4.13.3;YlxM/p13-like
a.4.14.1;KorB DNA-binding domain-like
a.4.15.1;Rps17e-like
a.159.2.1;FF domain
a.159.1.1;Protein serine/threonine phosphatase 2C, C-terminal domain
a.159.3.1;B-form DNA mimic Ocr
a.159.4.1;DEK C-terminal domain
a.159.5.1;IscX-like
a.5.1.1;DNA helicase RuvA subunit, C-terminal domain
a.5.2.1;UBA domain
a.5.2.2;TS-N domain
a.5.2.3;TAP-C domain-like
a.5.2.4;CUE domain
a.5.7.1;DmpG/LeuA communication domain-like
a.5.7.2;Conserved carboxylase domain
a.5.3.1;CRAL/TRIO N-terminal domain
a.5.4.1;Elongation factor TFIIS domain 2
a.5.6.1;Double-stranded DNA-binding domain
a.5.8.1;Hypothetical protein AF0491, middle domain
a.5.9.1;HBS1-like domain
a.5.10.1;FGAM synthase PurL, linker domain
a.156.1.1;Ribosomal protein S13
a.156.1.2;Middle domain of MutM-like DNA repair proteins
a.156.1.3;Topoisomerase VI-B subunit middle domain
a.6.1.1;Domains B1 and B5 of PheRS-beta, PheT
a.6.1.2;DNA repair factor XPA DNA- and RPA-binding domain, C-terminal subdomain
a.6.1.4;Dachshund-homology domain
a.6.1.3;DNA-binding N-terminal domain of transcription activators
a.6.1.5;Terminase gpNU1 subunit domain
a.6.1.7;Excisionase-like
a.6.1.6;N-terminal subdomain of bacterial translation initiation factor IF2
a.7.1.1;Spectrin repeat
a.7.2.1;Enzyme IIa from lactose specific PTS, IIa-lac
a.7.3.1;Succinate dehydrogenase/fumarate reductase flavoprotein C-terminal domain
a.7.4.1;Smac/diablo
a.7.7.1;BAG domain
a.7.8.1;GAT domain
a.7.8.2;Phosphoinositide-binding clathrin adaptor, domain 2
a.7.5.1;Tubulin chaperone cofactor A
a.7.6.1;Ribosomal protein S20
a.7.10.1;Glycogen synthesis protein GlgS
a.7.11.1;Alpha-hemoglobin stabilizing protein AHSP
a.7.12.1;PhoU-like
a.7.13.1;XseB-like
a.7.14.1;MIT domain
a.7.15.1;PPK N-terminal domain-like
a.7.16.1;MIT domain
a.7.17.1;Efb C-domain-like
a.8.1.1;Immunoglobulin-binding protein A modules
a.8.1.2;GA module, an albumin-binding domain
a.8.2.1;Plasmid maintenance system epsilon/zeta, antidote epsilon subunit
a.8.3.2;4-alpha-glucanotransferase, domain 2
a.8.3.1;alpha-mannosidase, domain 2
a.8.3.3;AmyC C-terminal domain-like
a.8.5.1;Phosphoprotein XD domain
a.8.6.1;Staphylocoagulase
a.8.4.1;Heat shock protein 70kD (HSP70), C-terminal subdomain
a.8.7.1;Typo IV secretion system protein TraC
a.8.8.1;Avirulence protein AvrPto
a.8.9.1;Coronavirus NSP7-like
a.8.10.1;Vng1086c-like
a.8.11.1;AF1782-like
a.9.1.1;Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex
a.239.1.1;ChaB-like
a.10.1.1;Protozoan pheromone proteins
a.10.2.1;Hypothetical membrane protein Ta0354, soluble domain
a.11.1.1;Acyl-CoA binding protein
a.11.2.1;Second domain of FERM
a.272.1.1;YqgQ-like
a.12.1.1;Kix domain of CBP (creb binding protein)
a.13.1.1;RAP domain
a.14.1.1;VHP, Villin headpiece domain
a.240.1.1;BSD domain
a.15.1.1;TAF(II)230 TBP-binding fragment
a.16.1.1;N-terminal, RNA-binding domain of nonstructural protein NS1
a.16.1.2;Ribosomal protein S15
a.16.1.3;a tRNA synthase domain
a.141.1.1;Frizzled cysteine-rich domain
a.18.1.1;T4 endonuclease V
a.19.1.1;Fertilization protein
a.20.1.1;Peptidoglycan binding domain, PGBD
a.20.1.2;MMP N-terminal domain
a.21.1.1;HMG-box
a.22.1.1;Nucleosome core histones
a.22.1.2;Archaeal histone
a.22.1.3;TBP-associated factors, TAFs
a.22.1.4;Bacterial histone-fold protein
a.23.1.1;HSC20 (HSCB), C-terminal oligomerisation domain
a.23.2.1;Diol dehydratase, gamma subunit
a.23.3.1;Methane monooxygenase hydrolase, gamma subunit
a.23.4.1;Mitochondrial import receptor subunit Tom20
a.23.5.1;Hemolysin expression modulating protein HHA
a.23.6.1;EF2458-like
a.23.7.1;YvfG-like
a.161.1.1;beta-catenin-interacting protein ICAT
a.237.1.1;DNA polymerase III theta subunit-like
a.24.1.1;Apolipoprotein
a.24.2.1;Aspartate receptor, ligand-binding domain
a.24.3.1;Cytochrome b562
a.24.3.2;Cytochrome c'-like
a.24.4.1;Hemerythrin-like
a.24.5.1;TMV-like viral coat proteins
a.24.7.1;FKBP12-rapamycin-binding domain of FKBP-rapamycin-associated protein (FRAP)
a.24.8.1;Proteasome activator
a.24.9.1;alpha-catenin/vinculin
a.24.9.2;VBS domain
a.24.14.1;FAT domain of focal adhesion kinase
a.24.18.1;Oxygen-evolving enhancer protein 3,
a.24.10.1;Aerobic respiration control sensor protein, ArcB
a.24.10.2;Phosphorelay protein-like
a.24.10.3;Chemotaxis protein CheA P1 domain
a.24.10.4;Sensor-like histidine kinase YojN, C-terminal domain
a.24.10.5;Phosphorelay protein luxU
a.24.10.6;SphA-like
a.24.11.1;Bacterial GAP domain
a.24.12.1;Outer surface protein C (OspC)
a.24.19.1;Flagellar export chaperone FliS
a.24.13.1;Domain of the SRP/SRP receptor G-proteins
a.24.15.1;FAD-dependent thiol oxidase
a.24.17.1;Group V grass pollen allergen
a.24.16.2;Family 1 bi-partite nucleotidyltransferase subunit
a.24.16.3;HEPN domain
a.24.16.1;Kanamycin nucleotidyltransferase (KNTase), C-terminal domain
a.24.16.4;Glutamine synthase adenylyltransferase GlnE, domain 2
a.24.21.1;RecG, N-terminal domain
a.24.20.1;Colicin D immunity protein
a.24.22.1;Nickel-containing superoxide dismutase, NiSOD
a.24.23.1;Mannose-6-phosphate receptor binding protein 1 (Tip47), C-terminal domain
a.24.24.1;Domain from hypothetical 2610208m17rik protein
a.24.25.1;TrmE connector domain
a.24.26.1;YppE-like
a.24.27.1;MW0975(SA0943)-like
a.24.28.1;VPS28 C-terminal domain-like
a.24.29.1;TM1646-like
a.142.1.1;PTS-regulatory domain, PRD
a.25.1.1;Ferritin
a.25.1.2;Ribonucleotide reductase-like
a.25.1.3;Manganese catalase (T-catalase)
a.25.1.4;YciF-like
a.25.1.5;half-ferritin
a.25.1.6;PMT1231-like
a.25.1.7;MiaE-like
a.25.1.8;AMB4284-like
a.25.1.9;Rv2844-like
a.25.2.2;Cobalamin adenosyltransferase
a.25.2.1;Hypothetical protein Ta1238
a.25.3.1;ESAT-6 like
a.25.4.1;PE
a.25.4.2;PPE
a.25.5.1;HP0062-like
a.25.6.1;SO2669-like
a.26.1.1;Long-chain cytokines
a.26.1.2;Short-chain cytokines
a.26.1.3;Interferons/interleukin-10 (IL-10)
a.27.1.1;Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases
a.28.1.1;Acyl-carrier protein (ACP)
a.28.1.2;Peptidyl carrier domain
a.28.1.3;apo-D-alanyl carrier protein
a.28.2.1;Colicin E immunity proteins
a.28.3.1;Retrovirus capsid protein C-terminal domain
a.28.3.2;SCAN domain
a.29.2.1;Bromodomain
a.29.5.1;alpha-ketoacid dehydrogenase kinase, N-terminal domain
a.29.3.1;Medium chain acyl-CoA dehydrogenase-like, C-terminal domain
a.29.3.2;acyl-CoA oxidase C-terminal domains
a.29.6.1;Plant invertase/pectin methylesterase inhibitor
a.29.7.1;Mob1/phocein
a.29.8.1;Carnobacteriocin B2 immunity protein
a.29.8.2;EntA-Im
a.29.9.1;LemA-like
a.29.10.1;MAST3 pre-PK domain-like
a.29.11.1;PA2201 N-terminal domain-like
a.29.12.1;Nqo1C-terminal domain-like
a.29.13.1;Bacillus cereus metalloprotein-like
a.29.14.1;Ta0600-like
a.29.15.1;DsbB-like
a.29.16.1;IVS-encoded protein-like
a.29.17.1;YqcC-like
a.30.1.1;ROP protein
a.30.2.1;Homodimeric domain of signal transducing histidine kinase
a.30.3.1;Nonstructural protein ns2, Nep, M1-binding domain
a.30.4.1;Dimerisation domain of CENP-B
a.30.5.1;Hypothetical protein D-63
a.30.6.1;HP1531-like
a.30.7.1;BAS1536-like
a.30.8.1;FHV B2 protein-like
a.31.1.1;Dimerization-anchoring domain of cAMP-dependent PK regulatory subunit
a.273.1.1;Hairy Orange domain
a.178.1.1;Soluble domain of poliovirus core protein 3a
a.32.1.1;Transcription factor IIA (TFIIA), alpha-helical domain
a.33.1.1;Ectatomin subunits
a.34.1.1;SinR repressor dimerisation domain-like
a.34.2.1;Dimerization cofactor of HNF-1 alpha
a.34.3.1;Docking domain A of the erythromycin polyketide synthase (DEBS)
a.34.4.1;Adapter protein APS, dimerisation domain
a.35.1.1;POU-specific domain
a.35.1.2;Phage repressors
a.35.1.3;SinR domain-like
a.35.1.4;Cyanase N-terminal domain
a.35.1.5;GalR/LacI-like bacterial regulator
a.35.1.6;YdiL-like
a.35.1.7;CUT domain
a.35.1.8;Probable transcriptional regulator VC1968, N-terminal domain
a.35.1.9;Bacteriophage CII protein
a.35.1.10;NE0471 C-terminal domain-like
a.35.1.11;PrgX N-terminal domain-like
a.35.1.12;EDF1-like
a.35.1.13;NE1354
a.36.1.1;Signal peptide-binding domain
a.37.1.1;A DNA-binding domain in eukaryotic transcription factors
a.38.1.1;HLH, helix-loop-helix DNA-binding domain
a.38.2.1;Docking domain B of the erythromycin polyketide synthase (DEBS)
a.274.1.1;HAMP domain
a.39.1.1;Calbindin D9K
a.39.1.2;S100 proteins
a.39.1.10;Polcalcin
a.39.1.3;Osteonectin
a.39.1.4;Parvalbumin
a.39.1.5;Calmodulin-like
a.39.1.6;Eps15 homology domain (EH domain)
a.39.1.9;Cbp40 (plasmodial specific CaII-binding protein LAV1-2)
a.39.1.8;Penta-EF-hand proteins
a.39.1.7;EF-hand modules in multidomain proteins
a.39.1.11;p25-alpha
a.39.2.1;Insect pheromone/odorant-binding proteins
a.39.4.1;Hypothetical protein MTH865
a.39.3.1;Cloroperoxidase
a.40.1.1;Calponin-homology domain, CH-domain
a.40.2.1;X-Prolyl dipeptidyl aminopeptidase PepX, N-terminal domain
a.40.3.1;Hook domain
a.41.1.1;Domain of poly(ADP-ribose) polymerase
a.42.1.1;SWIB/MDM2 domain
a.162.1.1;Pre-protein crosslinking domain of SecA
a.43.1.1;Arc/Mnt-like phage repressors
a.43.1.3;CopG-like
a.43.1.4;Omega transcriptional repressor
a.43.1.5;Met repressor, MetJ (MetR)
a.43.1.6;NE0241-like
a.43.1.7;SeqA N-terminal domain-like
a.43.1.8;Trafficking protein A-like
a.43.1.9;VCA0319-like
a.43.1.10;VirC2-like
a.43.1.11;PutA pre-N-terminal region-like
a.43.1.12;MJ0366-like
a.45.1.1;Glutathione S-transferase (GST), C-terminal domain
a.45.1.2;Arc1p N-terminal domain-like
a.46.1.1;Methionine synthase domain
a.46.2.1;Nucleoside phosphorylase/phosphoribosyltransferase N-terminal domain
a.46.3.1;TM0693-like
a.186.1.1;Circadian clock protein KaiA, C-terminal domain
a.186.1.2;Phosphoserine phosphatase RsbU, N-terminal domain
a.47.1.1;STAT
a.47.2.1;t-snare proteins
a.47.3.1;Cag-Z
a.47.4.1;CAPPD, an extracellular domain of amyloid beta A4 protein
a.47.5.1;FlgN-like
a.47.6.1;MukF C-terminal domain-like
a.48.1.1;N-terminal domain of cbl (N-cbl)
a.48.2.1;Transferrin receptor-like dimerisation domain
a.48.3.1;Conserved domain common to transcription factors TFIIS, elongin A, CRSP70
a.48.4.1;HIV integrase-binding domain
a.48.5.1;PG0775 C-terminal domain-like
a.179.1.1;Replisome organizer (g39p helicase loader/inhibitor protein)
a.229.1.1;Hypothetical protein YqbG
a.275.1.1;DnaD domain
a.49.1.1;C-terminal domain of B transposition protein
a.187.1.1;HAND domain of the nucleosome remodeling ATPase ISWI
a.180.1.1;N-terminal, cytoplasmic domain of anti-sigmaE factor RseA
a.50.1.1;Anaphylotoxins (complement system)
a.51.1.1;Cytochrome c oxidase subunit h
a.163.1.1;Crustacean CHH/MIH/GIH neurohormone
a.164.1.1;C-terminal domain of DFF45/ICAD (DFF-C domain)
a.276.1.1;BH2638-like
a.52.1.1;Plant lipid-transfer and hydrophobic proteins
a.52.1.2;Proteinase/alpha-amylase inhibitors
a.52.1.3;Seed storage protein, 2S albumin
a.53.1.1;p53 tetramerization domain
a.147.1.1;Bcr-Abl oncoprotein oligomerization domain
a.54.1.1;Domain of early E2A DNA-binding protein, ADDBP
a.55.1.1;Prokaryotic DNA-bending protein
a.55.1.2;DNA-binding domain (fragment?) of the TraM protein
a.241.1.1;TraM-like
a.56.1.1;CO dehydrogenase ISP C-domain like
a.57.1.1;Protein HNS-dependent expression A; HdeA
a.144.1.1;PABC (PABP) domain
a.144.2.1;Ribosomal protein L20
a.58.1.1;Chemotaxis receptor methyltransferase CheR, N-terminal domain
a.242.1.1;Dcp2 box A domain
a.243.1.1;TyeA-like
a.243.1.2;YopR Core
a.243.1.3;LcrE-like
a.230.1.1;YugE-like
a.188.1.1;PWI domain
a.59.1.1;PAH2 domain
a.165.1.1;Myosin phosphatase inhibitor 17kDa protein, CPI-17
a.189.1.1;XPC-binding domain
a.213.1.1;YfiT-like putative metal-dependent hydrolases
a.213.1.2;DinB-like
a.213.1.3;Sden0562-like
a.213.1.4;Maleylpyruvate isomerase-like
a.231.1.1;EspA-like
a.231.1.2;EspA chaperone CesA
a.214.1.1;NblA-like
a.244.1.1;EF2947-like
a.245.1.1;EB1 dimerisation domain-like
a.60.1.1;Pointed domain
a.60.1.2;SAM (sterile alpha motif) domain
a.60.1.3;Variant SAM domain
a.60.2.1;DNA helicase RuvA subunit, middle domain
a.60.2.3;Excinuclease UvrC C-terminal domain
a.60.2.2;NAD+-dependent DNA ligase, domain 3
a.60.2.4;Topoisomerase V repeat domain
a.60.2.5;Hef domain-like
a.60.2.6;Tex HhH-containing domain-like
a.60.2.7;ComEA-like
a.60.3.1;C-terminal domain of RNA polymerase alpha subunit
a.60.4.1;DNA repair protein Rad51, N-terminal domain
a.60.4.2;NusA extra C-terminal domains
a.60.4.3;Hypothetical protein AF1548, C-terminal domain
a.60.5.1;Barrier-to-autointegration factor, BAF
a.60.6.1;DNA polymerase beta, N-terminal domain-like
a.60.12.1;DNA polymerase beta-like, second domain
a.60.12.2;PsbU-like
a.60.7.1;5' to 3' exonuclease, C-terminal subdomain
a.60.8.1;HRDC domain from helicases
a.60.8.2;RNA polymerase II subunit RBP4 (RpoF)
a.60.8.3;RNase D C-terminal domains
a.60.8.4;EXOSC10 HRDC domain-like
a.60.9.1;lambda integrase-like, N-terminal domain
a.60.10.1;Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain
a.60.11.1;Hypothetical protein YjbJ
a.60.13.1;Putative methyltransferase TM0872, insert domain
a.60.14.1;eIF2alpha middle domain-like
a.60.15.1;YozE-like
a.60.16.1;GspK insert domain-like
a.61.1.1;Immunodeficiency virus matrix proteins
a.61.1.2;HTLV-II matrix protein
a.61.1.3;Mason-Pfizer monkey virus matrix protein
a.61.1.4;GAG polyprotein M-domain
a.61.1.5;EIAV matrix antigen
a.61.1.6;MMLV matrix protein-like
a.190.1.1;Flavivirus capsid protein C
a.62.1.1;Hepatitis B viral capsid (hbcag)
a.63.1.1;Apolipophorin-III
a.191.1.1;Methenyltetrahydrofolate cyclohydrolase-like
a.215.1.1;A middle domain of Talin 1
a.216.1.1;I/LWEQ domain
a.232.1.1;RNA-binding protein She2p
a.246.1.1;Hyaluronidase post-catalytic domain-like
a.246.2.1;TTHA0068-like
a.246.3.1;FLJ32549 domain-like
a.247.1.1;YoaC-like
a.64.1.3;Saposin B
a.64.1.1;NKL-like
a.64.1.4;Ameobapore A
a.64.1.2;Swaposin
a.64.2.1;Bacteriocin AS-48
a.65.1.1;Annexin
a.277.1.1;TAFH domain-like
a.66.1.1;Transducin (alpha subunit), insertion domain
a.68.1.1;Wiscott-Aldrich syndrome protein, WASP, C-terminal domain
a.69.1.1;C-terminal domain of alpha and beta subunits of F1 ATP synthase
a.69.2.1;Ypt/Rab-GAP domain of gyp1p
a.69.3.1;1-deoxy-D-xylulose-5-phosphate reductoisomerase, C-terminal domain
a.69.4.1;BH3980-like
a.70.1.1;N-terminal domain of the delta subunit of the F1F0-ATP synthase
a.70.2.1;Cas Cmr5-like
a.71.1.1;ERP29 C domain-like
a.71.2.1;Helical domain of Sec23/24
a.72.1.1;Functional domain of the splicing factor Prp18
a.73.1.1;Retrovirus capsid protein, N-terminal core domain
a.278.1.1;PSF1 N-terminal domain-like
a.278.1.2;PSF2 C-terminal domain-like
a.278.1.3;PSF3 C-terminal domain-like
a.278.1.4;SLD5 N-terminal domain-like
a.279.1.1;Jann4075-like
a.74.1.1;Cyclin
a.74.1.2;Transcription factor IIB (TFIIB), core domain
a.74.1.3;Retinoblastoma tumor suppressor domains
a.148.1.1;Arp2/3 complex 21 kDa subunit ARPC3
a.149.1.1;RNase III catalytic domain-like
a.149.1.2;PF0609-like
a.75.1.1;Ribosomal protein S7
a.80.1.1;DNA polymerase III clamp loader subunits, C-terminal domain
a.80.1.2;MgsA/YrvN C-terminal domain-like
a.160.1.1;Poly(A) polymerase, PAP, middle domain
a.160.1.2;2'-5'-oligoadenylate synthetase 1, OAS1, second domain
a.160.1.3;Archaeal tRNA CCA-adding enzyme substrate-binding domain
a.160.1.4;RNA editing terminal uridyl transferase 2, RET2, domain 2
a.160.1.5;AadK C-terminal domain-like
a.150.1.1;Anti-sigma factor AsiA
a.181.1.1;Antibiotic binding domain of TipA-like multidrug resistance regulators
a.217.1.1;Surp module (SWAP domain)
a.218.1.1;YgfY-like
a.219.1.1;Hypothetical protein YhaI
a.220.1.1;Hypothetical protein At3g22680
a.248.1.1;SP0561-like
a.280.1.1;RbcX-like
a.281.1.1;YmcA-like
a.281.1.2;YheA-like
a.282.1.1;RPA2825-like
a.283.1.1;Emsy N terminal (ENT) domain-like
a.249.1.1;YfmB-like
a.192.1.1;N-terminal domain of adenylylcyclase associated protein, CAP
a.250.1.1;IpaD-like
a.76.1.1;Iron-dependent repressor protein, dimerization domain
a.151.1.1;Glutamyl tRNA-reductase dimerization domain
a.193.1.1;GRIP domain
a.238.1.1;BAR domain
a.238.1.2;Arfaptin, Rac-binding fragment
a.238.1.3;IMD domain
a.238.1.4;FCH domain
a.194.1.1;L27 domain
a.221.1.1;Lissencephaly-1 protein (Lis-1, PAF-AH alpha) N-terminal domain
a.251.1.1;Phage replication organizer domain
a.284.1.1;YejL-like
a.252.1.1;CSE2-like
a.252.1.2;MED7 hinge region
a.77.1.2;DEATH domain, DD
a.77.1.4;DEATH effector domain, DED
a.77.1.3;Caspase recruitment domain, CARD
a.77.1.5;Pyrin domain, PYD
a.78.1.1;GntR ligand-binding domain-like
a.253.1.1;AF0941-like
a.79.1.1;Antitermination factor NusB
a.79.1.2;Hypothetical protein MG027
a.79.1.3;RmsB N-terminal domain-like
a.195.1.1;YutG-like
a.81.1.1;N-terminal domain of DnaB helicase
a.196.1.1;Invasion protein A (SipA) , C-terminal actin binding domain
a.285.1.1;MtlR-like
a.83.1.1;Guanido kinase N-terminal domain
a.84.1.1;Scaffolding protein gpD of bacteriophage procapsid
a.85.1.1;Hemocyanin, N-terminal domain
a.286.1.1;Sama2622-like
a.86.1.1;Hemocyanin middle domain
a.86.1.2;Catechol oxidase
a.87.1.1;DBL homology domain (DH-domain)
a.88.1.1;LigA subunit of an aromatic-ring-opening dioxygenase LigAB
a.166.1.1;RuBisCo LSMT C-terminal, substrate-binding domain
a.89.1.1;Methyl-coenzyme M reductase alpha and beta chain C-terminal domain
a.198.1.1;YcfC-like
a.254.1.1;PA2201 C-terminal domain-like
a.255.1.1;Rv1873-like
a.256.1.1;RUN domain
a.257.1.1;SipA N-terminal domain-like
a.90.1.1;Transcription factor STAT-4 N-domain
a.287.1.1;COG3793-like
a.287.1.2;PG1108-like
a.91.1.1;Regulator of G-protein signaling, RGS
a.168.1.1;SopE-like GEF domain
a.154.1.1;Variable surface antigen VlsE
a.199.1.1;YgfB-like
a.200.1.1;Hypothetical protein MTH393
a.258.1.1;PG0816-like
a.288.1.1;UraD-like
a.289.1.1;Sec63 N-terminal domain
