a.1.1;Globin-like
a.165.1;Myosin phosphatase inhibitor 17kDa protein, CPI-17
a.189.1;XPC-binding domain
a.213.1;DinB/YfiT-like putative metalloenzymes
a.231.1;EspA/CesA-like
a.214.1;NblA-like
a.244.1;EF2947-like
a.245.1;EB1 dimerisation domain-like
a.60.1;SAM/Pointed domain
a.60.2;RuvA domain 2-like
a.60.3;C-terminal domain of RNA polymerase alpha subunit
a.60.4;Rad51 N-terminal domain-like
a.60.5;Barrier-to-autointegration factor, BAF
a.60.6;DNA polymerase beta, N-terminal domain-like
a.60.12;PsbU/PolX domain-like
a.60.7;5' to 3' exonuclease, C-terminal subdomain
a.60.8;HRDC-like
a.60.9;lambda integrase-like, N-terminal domain
a.60.10;Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain
a.60.11;Hypothetical protein YjbJ
a.60.13;Putative methyltransferase TM0872, insert domain
a.60.14;eIF2alpha middle domain-like
a.60.15;YozE-like
a.60.16;GspK insert domain-like
a.61.1;Retroviral matrix proteins
a.190.1;Flavivirus capsid protein C
a.62.1;Hepatitis B viral capsid (hbcag)
a.63.1;Apolipophorin-III
a.191.1;Methenyltetrahydrofolate cyclohydrolase-like
a.215.1;A middle domain of Talin 1
a.216.1;I/LWEQ domain
a.232.1;RNA-binding protein She2p
a.246.1;Hyaluronidase post-catalytic domain-like
a.246.2;TTHA0068-like
a.246.3;FLJ32549 domain-like
a.247.1;YoaC-like
a.64.1;Saposin
a.64.2;Bacteriocin AS-48
a.65.1;Annexin
a.277.1;TAFH domain-like
a.66.1;Transducin (alpha subunit), insertion domain
a.68.1;Wiscott-Aldrich syndrome protein, WASP, C-terminal domain
a.69.1;C-terminal domain of alpha and beta subunits of F1 ATP synthase
a.69.2;Ypt/Rab-GAP domain of gyp1p
a.69.3;1-deoxy-D-xylulose-5-phosphate reductoisomerase, C-terminal domain
a.69.4;BH3980-like
a.70.1;N-terminal domain of the delta subunit of the F1F0-ATP synthase
a.70.2;AF1862-like
a.71.1;ERP29 C domain-like
a.71.2;Helical domain of Sec23/24
a.72.1;Functional domain of the splicing factor Prp18
a.73.1;Retrovirus capsid protein, N-terminal core domain
a.278.1;GINS helical bundle-like
a.279.1;Jann4075-like
a.74.1;Cyclin-like
a.148.1;Arp2/3 complex 21 kDa subunit ARPC3
a.149.1;RNase III domain-like
a.75.1;Ribosomal protein S7
a.80.1;post-AAA+ oligomerization domain-like
a.160.1;PAP/OAS1 substrate-binding domain
a.150.1;Anti-sigma factor AsiA
a.181.1;Antibiotic binding domain of TipA-like multidrug resistance regulators
a.217.1;Surp module (SWAP domain)
a.218.1;YgfY-like
a.219.1;Hypothetical protein YhaI
a.220.1;Hypothetical protein At3g22680
a.248.1;SP0561-like
a.280.1;RbcX-like
a.281.1;YheA/YmcA-like
a.282.1;RPA2825-like
a.283.1;ENT-like
a.249.1;YfmB-like
a.192.1;N-terminal domain of adenylylcyclase associated protein, CAP
a.250.1;IpaD-like
a.76.1;Iron-dependent repressor protein, dimerization domain
a.151.1;Glutamyl tRNA-reductase dimerization domain
a.193.1;GRIP domain
a.238.1;BAR/IMD domain-like
a.194.1;L27 domain
a.221.1;Lissencephaly-1 protein (Lis-1, PAF-AH alpha) N-terminal domain
a.251.1;Phage replication organizer domain
a.284.1;YejL-like
a.252.1;Mediator hinge subcomplex-like
a.77.1;DEATH domain
a.78.1;GntR ligand-binding domain-like
a.253.1;AF0941-like
a.79.1;NusB-like
a.195.1;YutG-like
a.81.1;N-terminal domain of DnaB helicase
a.196.1;Invasion protein A (SipA) , C-terminal actin binding domain
a.285.1;MtlR-like
a.83.1;Guanido kinase N-terminal domain
a.84.1;Scaffolding protein gpD of bacteriophage procapsid
a.85.1;Hemocyanin, N-terminal domain
a.286.1;Sama2622-like
a.86.1;Di-copper centre-containing domain
a.87.1;DBL homology domain (DH-domain)
a.88.1;LigA subunit of an aromatic-ring-opening dioxygenase LigAB
a.166.1;RuBisCo LSMT C-terminal, substrate-binding domain
a.89.1;Methyl-coenzyme M reductase alpha and beta chain C-terminal domain
a.198.1;YcfC-like
a.254.1;PA2201 C-terminal domain-like
a.255.1;Rv1873-like
a.256.1;RUN domain-like
a.257.1;SipA N-terminal domain-like
a.90.1;Transcription factor STAT-4 N-domain
a.287.1;TerB-like
a.91.1;Regulator of G-protein signaling, RGS
a.168.1;SopE-like GEF domain
a.154.1;Variable surface antigen VlsE
a.199.1;YgfB-like
a.200.1;Hypothetical protein MTH393
a.258.1;PG0816-like
a.288.1;UraD-Like
a.289.1;Sec63 N-terminal domain-like
a.92.1;Carbamoyl phosphate synthetase, large subunit connection domain
a.93.1;Heme-dependent peroxidases
a.94.1;Ribosomal protein L19 (L19e)
a.290.1;PSPTO4464-like
a.182.1;GatB/YqeY motif
a.233.1;YfbU-like
a.291.1;MG296-like
a.234.1;Hypothetical protein MPN330
a.211.1;HD-domain/PDEase-like
a.202.1;Superantigen MAM
a.95.1;Influenza virus matrix protein M1
a.96.1;DNA-glycosylase
a.97.1;An anticodon-binding domain of class I aminoacyl-tRNA synthetases
a.203.1;Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS)
a.98.1;R1 subunit of ribonucleotide reductase, N-terminal domain
a.169.1;BEACH domain
a.99.1;Cryptochrome/photolyase FAD-binding domain
a.100.1;6-phosphogluconate dehydrogenase C-terminal domain-like
a.101.1;Uteroglobin-like
a.102.1;Six-hairpin glycosidases
a.102.2;Seven-hairpin glycosidases
a.102.3;Chondroitin AC/alginate lyase
a.102.5;Family 10 polysaccharide lyase
a.102.4;Terpenoid cyclases/Protein prenyltransferases
a.102.6;LanC-like
a.103.1;Citrate synthase
a.104.1;Cytochrome P450
a.145.1;Flagellar transcriptional activator FlhD
a.292.1;HP0242-like
a.293.1;SMc04008-like
a.108.1;Ribosomal protein L7/12, oligomerisation (N-terminal) domain
a.109.1;Class II MHC-associated invariant chain ectoplasmic trimerization domain
a.110.1;Aldehyde ferredoxin oxidoreductase, C-terminal domains
a.111.1;Acid phosphatase/Vanadium-dependent haloperoxidase
a.170.1;BRCA2 helical domain
a.171.1;BRCA2 tower domain
a.155.1;H-NS histone-like proteins
a.177.1;Sigma2 domain of RNA polymerase sigma factors
a.113.1;DNA repair protein MutS, domain III
a.172.1;Helical scaffold and wing domains of SecA
a.204.1;all-alpha NTP pyrophosphatases
a.205.1;Hsp90 co-chaperone CDC37
a.183.1;Nop domain
a.259.1;YidB-like
a.114.1;Interferon-induced guanylate-binding protein 1 (GBP1), C-terminal domain
a.115.1;A virus capsid protein alpha-helical domain
a.206.1;P40 nucleoprotein
a.260.1;Rhabdovirus nucleoprotein-like
a.116.1;GTPase activation domain, GAP
a.117.1;Ras GEF
a.146.1;Telomeric repeat binding factor (TRF) dimerisation domain
a.173.1;Poly A polymerase C-terminal region-like
a.118.1;ARM repeat
a.118.22;IP3 receptor type 1 binding core, domain 2
a.118.21;Chemosensory protein Csp2
a.118.3;Sec7 domain
a.118.4;Lipovitellin-phosvitin complex, superhelical domain
a.118.5;Bacterial muramidases
a.118.15;Aconitase B, N-terminal domain
a.118.18;HCP-like
a.118.6;Protein prenylyltransferase
a.118.7;14-3-3 protein
a.118.8;TPR-like
a.118.9;ENTH/VHS domain
a.118.16;Translin
a.118.12;Ran-GTPase activating protein 1 (RanGAP1), C-terminal domain
a.118.13;Arp2/3 complex 16 kDa subunit ARPC5
a.118.14;FliG
a.118.17;Cullin repeat-like
a.118.19;C-terminal domain of Ku80
a.118.20;Hypothetical protein ST1625
a.118.11;Cytochrome c oxidase subunit E
a.118.23;USP8 N-terminal domain-like
a.118.24;Pseudo ankyrin repeat-like
a.118.25;TROVE domain-like
a.118.26;MgtE N-terminal domain-like
a.261.1;GUN4-like
a.119.1;Lipoxigenase
a.120.1;gene 59 helicase assembly protein
a.121.1;Tetracyclin repressor-like, C-terminal domain
a.157.1;Skp1 dimerisation domain-like
a.158.1;F-box domain
a.123.1;Nuclear receptor ligand-binding domain
a.124.1;Phospholipase C/P1 nuclease
a.235.1;ATP-dependent DNA ligase DNA-binding domain
a.236.1;DNA primase DnaG, C-terminal domain
a.262.1;PriB N-terminal domain-like
a.222.1;VPS9 domain
a.223.1;Triger factor/SurA peptide-binding domain-like
a.263.1;DNA terminal protein
a.224.1;Glycolipid transfer protein, GLTP
a.225.1;Hypothetical protein MG354
a.264.1;Duffy binding domain-like
a.265.1;Fic-like
a.226.1;Her-1
a.227.1;ERO1-like
a.126.1;Serum albumin-like
a.127.1;L-aspartase-like
a.207.1;Formin homology 2 domain (FH2 domain)
a.128.1;Terpenoid synthases
a.129.1;GroEL equatorial domain-like
a.184.1;TorD-like
a.130.1;Chorismate mutase II
a.131.1;Peridinin-chlorophyll protein
a.132.1;Heme oxygenase-like
a.266.1;Indolic compounds 2,3-dioxygenase-like
a.152.1;AhpD-like
a.174.1;Double Clp-N motif
a.175.1;Orange carotenoid protein, N-terminal domain
a.208.1;DhaL-like
a.209.1;ADP-ribosylglycohydrolase
a.267.1;Topoisomerase V catalytic domain-like
a.268.1;PTPA-like
a.294.1;Tex N-terminal region-like
a.295.1;AGR C 984p-like
a.296.1;PMT central region-like
a.269.1;FtsH protease domain-like
a.185.1;Gametocyte protein Pfg27
a.176.1;N-terminal domain of bifunctional PutA protein
a.17.1;Cysteine alpha-hairpin motif
a.133.1;Phospholipase A2, PLA2
a.134.1;Fungal elicitin
a.135.1;Tetraspanin
a.228.1;GDNF receptor-like
a.136.1;FinO-like
a.153.1;Nuclear receptor coactivator interlocking domain
a.270.1;Hermes dimerisation domain
a.210.1;Eukaryotic initiation factor 4f subunit eIF4g, eIF4e-binding domain
a.137.1;Ribosomal protein L39e
a.137.2;Methanol dehydrogenase subunit
a.137.3;Transducin (heterotrimeric G protein), gamma chain
a.137.4;Fe-only hydrogenase smaller subunit
a.137.5;Moesin tail domain
a.137.7;Proteinase A inhibitor IA3
a.137.8;Epsilon subunit of mitochondrial F1F0-ATP synthase
a.137.9;Quinohemoprotein amine dehydrogenase C chain
a.137.10;Stathmin
a.137.11;Anti-sigma factor FlgM
a.137.12;Glu-tRNAGln amidotransferase C subunit
a.137.13;RelB-like
a.137.14;Lag-3 N-terminal region
a.137.15;Lipase chaperone-like
a.138.1;Multiheme cytochromes
b.1.1;Immunoglobulin
b.1.18;E set domains
b.1.2;Fibronectin type III
b.1.3;PKD domain
b.1.4;beta-Galactosidase/glucuronidase domain
b.1.5;Transglutaminase, two C-terminal domains
b.1.6;Cadherin-like
b.1.7;Actinoxanthin-like
b.1.8;Cu,Zn superoxide dismutase-like
b.1.9;CBD9-like
b.1.16;Lamin A/C globular tail domain
b.1.10;Clathrin adaptor appendage domain
b.1.15;Integrin domains
b.1.11;PapD-like
b.1.12;Purple acid phosphatase, N-terminal domain
b.1.21;Fungal immunomodulatory protein, FIP
b.1.13;Superoxide reductase-like
b.1.17;Thiol:disulfide interchange protein DsbD, N-terminal domain (DsbD-alpha)
b.1.14;Invasin/intimin cell-adhesion fragments
b.1.19;Antigen MPT63/MPB63 (immunoprotective extracellular protein)
b.1.20;Tp47 lipoprotein, middle and C-terminal domains
b.1.22;ASF1-like
b.1.23;ApaG-like
b.1.24;Accessory protein X4 (ORF8, ORF7a)
b.1.25;LEA14-like
b.1.26;ICP-like
b.1.27;CalX-like
b.1.28;NEAT domain-like
b.2.1;Diphtheria toxin, C-terminal domain
b.2.2;Carbohydrate-binding domain
b.2.3;Bacterial adhesins
b.2.4;Alpha-macroglobulin receptor domain
b.2.5;p53-like transcription factors
b.2.6;Cytochrome f, large domain
b.2.8;beta-sandwich domain of Sec23/24
b.2.7;Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor
b.2.9;Peptidylarginine deiminase Pad4, middle domain
b.2.10;DR1885-like metal-binding protein
b.3.1;Starch-binding domain-like
b.3.2;Carboxypeptidase regulatory domain-like
b.3.3;VHL
b.3.4;Transthyretin (synonym: prealbumin)
b.3.5;Cna protein B-type domain
b.3.6;Aromatic compound dioxygenase
b.3.7;Hypothetical protein PA1324
b.4.1;HSP40/DnaJ peptide-binding domain
b.105.1;Penicillin-binding protein associated domain
b.5.1;alpha-Amylase inhibitor tendamistat
b.112.1;C-terminal domain of mollusc hemocyanin
b.154.1;Agglutinin HPA-like
b.155.1;L21p-like
b.6.1;Cupredoxins
b.6.2;Major surface antigen p30, SAG1
b.146.1;Ctag/Cox11
b.156.1;Atu1913-like
b.7.1;C2 domain (Calcium/lipid-binding domain, CaLB)
b.7.2;Periplasmic chaperone C-domain
b.7.3;PHL pollen allergen
b.7.4;Rab geranylgeranyltransferase alpha-subunit, insert domain
b.7.5;Smr-associated domain-like
b.8.1;TRAF domain-like
b.9.1;Neurophysin II
b.114.1;N-utilization substance G protein NusG, insert domain
b.121.3;Nucleoplasmin-like core domain
b.121.4;Positive stranded ssRNA viruses
b.121.5;ssDNA viruses
b.121.6;Group I dsDNA viruses
b.121.2;Group II dsDNA viruses VP
b.121.7;Satellite viruses
b.121.1;PHM/PNGase F
b.11.1;gamma-Crystallin-like
b.12.1;Lipase/lipooxygenase domain (PLAT/LH2 domain)
b.14.1;Calpain large subunit, middle domain (domain III)
b.132.1;Supernatant protein factor (SPF), C-terminal domain
b.123.1;Hypothetical protein TM1070
b.94.1;Olfactory marker protein
b.15.1;HSP20-like chaperones
b.130.1;Heat shock protein 70kD (HSP70), peptide-binding domain
b.16.1;Ecotin, trypsin inhibitor
b.17.1;PEBP-like
b.95.1;Ganglioside M2 (gm2) activator
b.96.1;Nicotinic receptor ligand binding domain-like
b.149.1;Beta-galactosidase LacA, domain 3
b.18.1;Galactose-binding domain-like
b.19.1;Viral protein domain
b.115.1;Calcium-mediated lectin
b.133.1;Dextranase, N-terminal domain
b.134.1;Smp-1-like
b.135.1;Superantigen (mitogen) Ypm
b.20.1;ENV polyprotein, receptor-binding domain
b.147.1;BTV NS2-like ssRNA-binding domain
b.170.1;WSSV envelope protein-like
b.21.1;Virus attachment protein globular domain
b.22.1;TNF-like
b.23.1;Spermadhesin, CUB domain
b.23.2;Collagen-binding domain
b.23.3;Acetamidase/Formamidase-like
b.24.1;Hyaluronate lyase-like, C-terminal domain
b.97.1;Cytolysin/lectin
b.150.1;Putative glucosidase YicI, C-terminal domain
b.151.1;CsrA-like
b.25.1;Osmotin, thaumatin-like protein
b.26.1;SMAD/FHA domain
b.27.1;Soluble secreted chemokine inhibitor, VCCI
b.28.1;Baculovirus p35 protein
b.29.1;Concanavalin A-like lectins/glucanases
b.30.5;Galactose mutarotase-like
b.30.6;V-region of surface antigen I/II (SA I/II, PAC)
b.30.2;Amine oxidase catalytic domain
b.98.1;Leukotriene A4 hydrolase N-terminal domain
b.31.1;EV matrix protein
b.116.1;Viral chemokine binding protein m3
b.32.1;gp9
b.152.1;Flagellar hook protein flgE
b.33.1;ISP domain
b.171.1;Trm112p-like
b.172.1;YopX-like
b.117.1;Obg GTP-binding protein N-terminal domain
b.34.1;C-terminal domain of transcriptional repressors
b.34.2;SH3-domain
b.34.11;Prokaryotic SH3-related domain
b.34.3;Myosin S1 fragment, N-terminal domain
b.34.9;Tudor/PWWP/MBT
b.34.13;Chromo domain-like
b.34.12;BAH domain
b.34.14;PAZ domain
b.34.10;Cap-Gly domain
b.34.4;Electron transport accessory proteins
b.34.5;Translation proteins SH3-like domain
b.34.6;Cell growth inhibitor/plasmid maintenance toxic component
b.34.8;Fumarylacetoacetate hydrolase, FAH, N-terminal domain
b.34.7;DNA-binding domain of retroviral integrase
b.34.15;Hypothetical protein YfhH
b.34.16;Kinase-associated protein B-like
b.34.17;YccV-like
b.34.18;CarD-like
b.34.19;Mib/herc2 domain-like
b.34.20;YorP-like
b.34.21;Plus3-like
b.35.1;GroES-like
b.35.2;SacY-like RNA-binding domain
b.36.1;PDZ domain-like
b.37.1;N-terminal domains of the minor coat protein g3p
b.38.1;Sm-like ribonucleoproteins
b.38.2;YhbC-like, C-terminal domain
b.38.3;GatD N-terminal domain-like
b.38.4;Dom34/Pelota N-terminal domain-like
b.38.5;TrmB C-terminal domain-like
b.136.1;SspB-like
b.137.1;Rof/RNase P subunit-like
b.138.1;Hydrophobin II, HfbII
b.39.1;Ribosomal protein L14
b.40.1;Staphylococcal nuclease
b.40.2;Bacterial enterotoxins
b.40.3;TIMP-like
b.40.9;Heme chaperone CcmE
b.40.8;gp5 N-terminal domain-like
b.40.10;Hypothetical protein YgiW
b.40.4;Nucleic acid-binding proteins
b.40.5;Inorganic pyrophosphatase
b.40.6;MOP-like
b.40.7;CheW-like
b.40.11;TM0957-like
b.40.12;NfeD domain-like
b.40.13;BC4932-like
b.40.14;HupF/HypC-like
b.40.15;EutN/CcmL-like
b.40.16;HIN-2000 domain-like
b.41.1;PRC-barrel domain
b.42.1;Cytokine
b.42.6;MIR domain
b.42.2;Ricin B-like lectins
b.42.3;Agglutinin
b.42.4;STI-like
b.42.5;Actin-crosslinking proteins
b.42.7;DNA-binding protein LAG-1 (CSL)
b.42.8;AbfB domain
b.43.4;Riboflavin synthase domain-like
b.43.5;Riboflavin kinase-like
b.43.2;FucI/AraA C-terminal domain-like
b.43.3;Translation proteins
b.44.1;EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain
b.44.2;Aminomethyltransferase beta-barrel domain
b.45.1;FMN-binding split barrel
b.45.2;PilZ domain-like
b.45.3;YkvR-like
b.106.1;Phage tail proteins
b.139.1;Surface presentation of antigens (SPOA)
